codigo_ibge,date,data,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,anual_prodution
4100509,2005,20050702.0,12.3,24.19,17.52,21.01,30.26,18.44,23.88,12.88,73.81,0.21,97.62,1.09,1.73,0.62,1.15,2.46,3.66,1.52,2.13,4.41,6.2,2.46,3.62,0.67,0.66,0.66,18.12,22.75,34.02,94.23,120.61,12.05,0.31,1.55,1800.0
4100509,2006,20060702.0,12.66,23.68,17.98,20.71,29.78,18.08,23.54,13.24,71.5,0.18,97.59,0.98,1.62,0.56,1.1,2.21,3.31,1.28,2.18,3.89,5.91,1.95,3.84,0.64,0.64,0.65,18.34,23.56,33.97,96.0,122.91,12.64,0.34,1.73,1255.0
4100509,2007,20070702.0,11.88,24.72,17.93,21.15,30.26,18.32,24.32,13.24,76.25,0.11,97.63,1.03,1.68,0.59,1.11,2.34,3.54,1.4,2.16,4.2,6.12,2.27,3.6,0.69,0.67,0.68,18.22,22.69,33.93,94.69,117.77,12.27,0.32,1.6,2355.0
4100509,2008,20080701.5,12.59,23.185000000000002,17.425,20.21,29.67,17.415,22.87,12.88,73.155,0.11499999999999999,97.59,1.02,1.63,0.565,1.08,2.34,3.34,1.3050000000000002,2.115,4.17,6.175,2.0700000000000003,3.875,0.66,0.65,0.655,18.735,24.130000000000003,34.010000000000005,98.52,125.815,12.870000000000001,0.35,1.76,2600.0
4100509,2009,20090702.0,11.01,24.27,18.75,21.39,29.74,18.73,23.94,13.98,78.94,0.55,97.56,0.98,1.6,0.53,1.09,2.22,3.3,1.25,2.07,3.98,5.81,1.86,3.7,0.77,0.73,0.73,17.87,23.61,34.0,95.45,125.53,12.35,0.34,1.68,1300.0
4100509,2010,20100702.0,11.05,22.87,17.05,19.54,28.83,16.69,22.86,12.45,80.38,0.17,97.62,1.09,1.74,0.6,1.12,2.45,3.62,1.52,2.09,4.42,6.16,2.65,3.61,0.74,0.71,0.72,17.67,22.97,33.99,91.11,119.98,11.81,0.31,1.52,3000.0
4100509,2011,20110702.0,11.21,23.05,18.25,20.36,28.72,17.49,22.82,13.55,78.75,0.1,97.61,1.03,1.66,0.57,1.13,2.32,3.41,1.29,2.11,4.13,6.02,2.19,3.7,0.73,0.7,0.71,18.33,23.99,33.95,96.89,126.37,12.55,0.35,1.61,2773.0
4100509,2012,20120701.5,12.735,24.83,17.1,21.115,31.145,18.58,24.615000000000002,12.57,70.655,0.1,97.58,1.05,1.775,0.55,1.23,2.38,3.66,1.295,2.28,4.1899999999999995,6.1899999999999995,1.995,3.8,0.62,0.62,0.62,19.11,24.65,34.035,101.02,129.10000000000002,12.9,0.34,1.725,815.0
4100509,2013,20130702.0,11.72,22.82,17.88,20.24,28.65,17.34,22.61,13.18,77.81,0.15,97.63,1.06,1.77,0.59,1.14,2.41,3.62,1.38,2.2,4.32,6.17,2.25,3.79,0.72,0.69,0.69,18.53,23.76,34.02,98.94,124.61,12.65,0.34,1.73,2137.0
4100509,2014,20140702.0,11.24,24.08,18.59,21.35,29.56,18.72,23.72,13.85,78.38,0.36,97.63,1.09,1.75,0.62,1.16,2.48,3.61,1.52,2.18,4.54,6.27,2.52,3.62,0.71,0.68,0.68,17.64,23.27,34.0,94.42,121.94,12.41,0.34,1.6,1800.0
4100509,2015,20150702.0,11.24,24.88,19.43,22.27,29.8,19.63,24.59,14.59,77.81,0.75,97.64,1.02,1.66,0.57,1.12,2.3,3.48,1.31,2.17,4.09,5.92,2.14,3.73,0.69,0.66,0.66,17.59,23.8,33.96,92.02,124.38,11.83,0.32,1.65,2455.0
4100509,2016,20160701.5,10.675,22.674999999999997,18.369999999999997,20.39,28.064999999999998,17.424999999999997,22.425,13.61,81.75,0.22499999999999998,97.695,1.0150000000000001,1.625,0.57,1.0550000000000002,2.315,3.43,1.34,2.05,4.1850000000000005,6.125,2.205,3.705,0.82,0.8,0.8,18.645,24.314999999999998,34.025,99.42500000000001,125.625,12.915,0.36,1.8050000000000002,2780.0
4100509,2017,20170702.0,11.06,23.71,18.8,21.0,29.43,18.37,23.43,14.04,80.0,0.34,97.66,1.05,1.73,0.61,1.14,2.39,3.62,1.46,2.2,4.28,6.08,2.45,3.53,0.75,0.72,0.73,17.93,23.76,34.0,94.63,124.54,12.23,0.33,1.67,2900.0
4100608,2004,20040701.5,12.24,23.05,17.244999999999997,19.91,29.564999999999998,17.09,23.07,12.82,76.41,0.395,96.445,0.74,1.255,0.38,0.885,2.2350000000000003,3.23,1.225,2.09,4.16,6.075,2.05,3.88,0.69,0.64,0.66,18.705,23.16,34.015,97.38499999999999,119.815,12.7,0.34,1.71,1487.0
4100608,2005,20050702.0,12.46,23.15,17.34,20.39,30.02,17.51,23.12,12.88,74.31,0.13,96.44,0.76,1.31,0.41,0.93,2.27,3.45,1.36,2.13,4.25,6.11,2.26,3.73,0.62,0.59,0.59,18.16,22.95,34.02,95.77,121.53,12.23,0.32,1.62,1365.0
