codigo_ibge,date,data,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
4121703,2018,20180702.0,10.3,20.15,15.75,18.24,25.65,15.3,20.28,12.08,78.38,0.23,92.45,0.15,0.32,0.05,0.26,1.1,1.73,0.54,1.14,2.51,3.9,1.12,2.62,0.55,0.5,0.52,16.84,23.64,33.72,88.02,122.88,11.76,0.31,1.59
4121703,2019,20190702.0,10.76,21.35,15.95,19.08,26.46,16.32,21.4,12.33,77.5,0.32,92.44,0.14,0.3,0.05,0.24,1.12,1.7,0.55,1.16,2.51,4.0,1.09,2.82,0.53,0.48,0.51,16.95,23.3,33.67,88.7,123.24,11.7,0.32,1.66
4121703,2020,20200701.5,12.655000000000001,21.165,13.91,17.275,27.995,15.155000000000001,21.28,10.83,67.595,0.185,92.43,0.15,0.305,0.06,0.25,1.16,1.74,0.56,1.2,2.55,4.055,1.11,2.8049999999999997,0.45,0.45,0.47,19.0,23.255,33.735,98.205,120.775,12.77,0.36,1.8450000000000002
4121752,2017,20170702.5,9.785,18.740000000000002,14.955,16.880000000000003,23.88,13.97,18.775,11.72,82.47,0.425,92.48,0.11,0.23,0.05,0.19,1.145,1.68,0.61,1.08,2.6,3.88,1.36,2.545,0.73,0.71,0.75,17.354999999999997,23.555,33.36,89.88499999999999,121.17500000000001,11.68,0.31,1.5950000000000002
4121752,2018,20180702.0,9.86,18.72,15.23,17.07,23.94,14.11,18.8,11.96,81.62,0.28,92.45,0.12,0.3,0.05,0.26,1.1,1.73,0.54,1.14,2.51,3.9,1.12,2.62,0.73,0.7,0.74,17.07,23.52,33.45,89.86,123.18,11.8,0.3,1.54
4121752,2019,20190702.0,10.24,19.38,15.24,17.62,24.44,14.91,19.48,12.02,81.5,0.54,92.44,0.12,0.27,0.05,0.23,1.12,1.7,0.55,1.16,2.51,4.0,1.09,2.82,0.7,0.69,0.73,16.79,23.36,33.4,87.48,123.98,11.59,0.3,1.51
4121752,2020,20200701.5,11.774999999999999,19.119999999999997,13.545,16.255000000000003,25.705,13.864999999999998,19.245,10.74,75.06,0.28500000000000003,92.43,0.12,0.28500000000000003,0.05,0.235,1.16,1.74,0.56,1.2,2.55,4.055,1.11,2.8049999999999997,0.68,0.66,0.7,18.950000000000003,23.240000000000002,33.45,99.275,120.11500000000001,12.765,0.35,1.79
4121802,2017,20170702.5,10.785,22.93,17.965,20.259999999999998,28.23,17.314999999999998,22.94,13.43,79.75,0.255,92.48,1.775,3.07,0.73,2.27,1.145,1.68,0.61,1.08,2.6,3.88,1.36,2.545,0.74,0.72,0.73,17.875,23.91,33.935,92.57,124.41499999999999,12.120000000000001,0.34,1.71
4121802,2018,20180702.0,11.4,22.92,18.16,20.56,29.02,17.73,22.8,13.67,76.75,0.14,92.45,1.59,2.88,0.63,2.24,1.1,1.73,0.54,1.14,2.51,3.9,1.12,2.62,0.7,0.68,0.69,17.57,23.63,33.99,93.52,123.95,12.44,0.34,1.65
4121802,2019,20190702.0,13.04,24.69,17.51,21.34,30.43,18.97,24.36,13.12,71.12,0.1,92.44,1.69,3.02,0.66,2.3,1.12,1.7,0.55,1.16,2.51,4.0,1.09,2.82,0.62,0.63,0.65,17.84,23.31,33.94,92.95,123.03,12.16,0.35,1.75
4121802,2020,20200701.5,14.27,24.5,15.745000000000001,19.69,30.735,17.314999999999998,23.805,11.809999999999999,66.655,0.08,92.43,1.73,3.0949999999999998,0.7,2.41,1.16,1.74,0.56,1.2,2.55,4.055,1.11,2.8049999999999997,0.595,0.62,0.62,19.060000000000002,23.235,34.015,99.675,121.56,12.965,0.38,1.91
4121901,2017,20170702.5,10.605,21.604999999999997,17.134999999999998,19.259999999999998,27.16,16.26,21.57,13.06,81.69,0.245,92.48,1.26,2.175,0.55,1.63,1.145,1.68,0.61,1.08,2.6,3.88,1.36,2.545,0.73,0.7,0.71,18.02,24.04,33.93,95.02000000000001,124.45500000000001,12.515,0.34,1.705
4121901,2018,20180702.0,11.37,21.46,17.28,19.5,27.76,16.4,21.45,13.12,78.94,0.22,92.45,1.13,2.06,0.48,1.57,1.1,1.73,0.54,1.14,2.51,3.9,1.12,2.62,0.7,0.66,0.68,17.64,23.68,33.99,94.33,124.1,12.38,0.33,1.64
4121901,2019,20190702.0,12.34,23.22,17.0,20.44,29.14,17.5,22.99,12.94,75.25,0.21,92.44,1.2,2.12,0.51,1.63,1.12,1.7,0.55,1.16,2.51,4.0,1.09,2.82,0.61,0.61,0.62,17.92,23.33,33.94,94.09,124.29,12.27,0.34,1.73
4121901,2020,20200701.5,14.35,23.125,15.254999999999999,18.8,29.905,16.045,22.795,11.54,68.59,0.09,92.43,1.23,2.19,0.53,1.6749999999999998,1.16,1.74,0.56,1.2,2.55,4.055,1.11,2.8049999999999997,0.56,0.58,0.59,19.494999999999997,23.31,34.015,101.78,122.065,13.274999999999999,0.38,1.9449999999999998
4122008,2017,20170702.5,10.79,19.380000000000003,15.135,17.3,25.2,14.215,19.310000000000002,11.809999999999999,82.62,0.335,92.48,0.8,1.38,0.38,0.99,1.145,1.68,0.61,1.08,2.6,3.88,1.36,2.545,0.68,0.63,0.67,15.65,23.61,33.36,82.47,121.235,10.945,0.3,1.4649999999999999
4122008,2018,20180702.0,11.05,19.62,15.49,17.52,25.3,14.55,19.42,12.02,80.88,0.37,92.45,0.77,1.35,0.37,0.98,1.1,1.73,0.54,1.14,2.51,3.9,1.12,2.62,0.66,0.61,0.65,15.74,23.53,33.45,82.71,122.5,11.01,0.29,1.45
4122008,2019,20190702.0,11.41,20.59,15.68,18.15,26.04,15.16,20.28,12.15,80.81,0.46,92.44,0.8,1.42,0.35,1.03,1.12,1.7,0.55,1.16,2.51,4.0,1.09,2.82,0.62,0.57,0.59,15.55,23.46,33.4,81.37,123.12,10.92,0.29,1.45
4122008,2020,20200701.5,12.925,19.525,14.075,16.58,26.63,14.01,19.335,10.96,75.72,0.275,92.43,0.79,1.38,0.36,1.01,1.16,1.74,0.56,1.2,2.55,4.055,1.11,2.8049999999999997,0.58,0.54,0.57,17.5,22.965,33.45,91.39,118.945,11.915,0.325,1.59
4122107,2017,20170702.5,10.05,21.305,16.89,19.145,26.32,16.275,21.314999999999998,12.91,81.94,0.32,92.48,0.73,1.27,0.37,0.92,1.145,1.68,0.61,1.08,2.6,3.88,1.36,2.545,0.68,0.64,0.65,18.16,23.975,33.93,94.865,124.295,12.575,0.34,1.69
4122107,2018,20180702.0,10.52,21.28,16.89,19.2,26.75,16.25,21.12,12.94,78.69,0.31,92.45,0.7,1.22,0.35,0.9,1.1,1.73,0.54,1.14,2.51,3.9,1.12,2.62,0.62,0.6,0.61,17.64,23.7,33.99,93.34,124.05,12.48,0.33,1.63
4122107,2019,20190702.0,11.21,22.6,16.96,20.11,27.62,17.58,22.42,13.0,75.75,0.24,92.44,0.7,1.26,0.34,0.92,1.12,1.7,0.55,1.16,2.51,4.0,1.09,2.82,0.59,0.57,0.58,17.75,23.26,33.94,93.71,124.18,12.33,0.34,1.67
4122107,2020,20200701.5,12.985,22.655,14.88,18.33,29.115000000000002,16.34,22.48,11.29,66.31,0.095,92.43,0.73,1.31,0.35,0.97,1.16,1.74,0.56,1.2,2.55,4.055,1.11,2.8049999999999997,0.52,0.53,0.54,19.64,23.28,34.015,103.45,122.735,13.370000000000001,0.38,1.9449999999999998
4122156,2017,20170702.5,10.05,21.305,16.89,19.145,26.32,16.275,21.314999999999998,12.91,81.94,0.32,92.48,0.04,0.2,0.01,0.2,1.145,1.68,0.61,1.08,2.6,3.88,1.36,2.545,0.75,0.73,0.77,17.354999999999997,23.555,33.36,89.88499999999999,121.17500000000001,11.68,0.31,1.5950000000000002
4122156,2018,20180702.0,10.52,21.28,16.89,19.2,26.75,16.25,21.12,12.94,78.69,0.31,92.45,0.05,0.3,0.01,0.28,1.1,1.73,0.54,1.14,2.51,3.9,1.12,2.62,0.75,0.73,0.77,17.07,23.52,33.45,89.86,123.18,11.8,0.3,1.54
4122156,2019,20190702.0,11.21,22.6,16.96,20.11,27.62,17.58,22.42,13.0,75.75,0.24,92.44,0.05,0.22,0.01,0.21,1.12,1.7,0.55,1.16,2.51,4.0,1.09,2.82,0.72,0.7,0.74,16.79,23.36,33.4,87.48,123.98,11.59,0.3,1.51
4122156,2020,20200701.5,12.985,22.655,14.88,18.33,29.115000000000002,16.34,22.48,11.29,66.31,0.095,92.43,0.05,0.24,0.01,0.23,1.16,1.74,0.56,1.2,2.55,4.055,1.11,2.8049999999999997,0.68,0.66,0.7,18.950000000000003,23.240000000000002,33.45,99.275,120.11500000000001,12.765,0.35,1.79
4122172,2017,20170702.5,10.05,21.305,16.89,19.145,26.32,16.275,21.314999999999998,12.91,81.94,0.32,92.48,0.12,0.34,0.05,0.3,1.145,1.68,0.61,1.08,2.6,3.88,1.36,2.545,0.6,0.55,0.57,17.585,23.85,33.655,90.225,122.84,11.975,0.32,1.59
4122172,2018,20180702.0,10.52,21.28,16.89,19.2,26.75,16.25,21.12,12.94,78.69,0.31,92.45,0.12,0.38,0.05,0.34,1.1,1.73,0.54,1.14,2.51,3.9,1.12,2.62,0.55,0.51,0.52,17.24,23.56,33.72,90.67,122.79,12.06,0.32,1.51
